INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
474,474,Bangor University,United Kingdom,Medium,Full Comprehensive,Very High,8.6,601+,5.8,601+,12.1,701+,43,321,40.7,416,52.3,280,75,409,8.1,701+,82.9,139,25.2,https://www.bangor.ac.uk/
475,474,Hiroshima University,Japan,Large,Full Comprehensive,Very High,24.1,363,12.3,601+,75.9,161,8.9,701+,13.2,701+,12.9,660,70.1,485,6.9,701+,50.8,315,25.2,https://www.hiroshima-u.ac.jp/en/
476,474,Universität Potsdam,Germany,Large,Focused,Very High,15.8,557,3.4,601+,18.6,701+,36.5,375,51.8,358,21.2,526,92.9,121,1.3,701+,67.1,232,25.2,https://www.uni-potsdam.de/en/
477,434,University of Sharjah,United Arab Emirates,Large,Comprehensive,Very High,18.1,501,17.3,496,6,701+,22,532,100,8,100,31,84.8,250,11.2,701+,11.8,623,27.5,https://www.sharjah.ac.ae/
478,477,Bilkent University,Turkey,Medium,Comprehensive,Very High,24,365,52.1,164,13.3,701+,15.2,632,61.4,319,3.7,701+,38.3,701+,19.3,573,10.6,653,25.1,https://w3.bilkent.edu.tr/bilkent/
479,477,Indian Institute of Technology Indore (IIT Indore),India,Small,Focused,Very High,6.1,601+,5,601+,27.1,558,95.6,47,2.1,701+,1.1,701+,23.6,701+,2.2,701+,4.2,701+,25.1,https://www.iiti.ac.in/
480,477,Royal Holloway University of London,United Kingdom,Medium,Comprehensive,Very High,14.9,585,5.7,601+,13,701+,27.2,474,94.1,161,86.9,141,73.2,434,7.2,701+,19.7,537,25.1,https://www.royalholloway.ac.uk/
481,481,Aix-Marseille University,France,Extra Large,Full Comprehensive,Very High,36.9,235,6.5,601+,7.9,701+,21.7,534,17.5,633,18.2,578,99.1,13,15.2,656,25.5,488,25,https://www.univ-amu.fr/
482,481,Pontificia Universidad Católica Argentina,Argentina,Large,Full Comprehensive,Medium,19.9,446,29.4,320,99.9,19,1.1,701+,1.9,701+,6.7,701+,12.5,701+,85.7,97,1,701+,25,https://www.puca.edu.ar/
483,481,"The University of Tennessee, Knoxville",United States,Extra Large,Full Comprehensive,Very High,10.1,601+,8.2,601+,9.5,701+,76.3,131,4.9,701+,2.4,701+,77.3,371,11,701+,15,592,25,https://www.utk.edu/
484,484,China Agricultural University ,China (Mainland),Large,Full Comprehensive,Very High,8.4,601+,2.6,601+,18.9,701+,88.8,79,3.2,701+,1.5,701+,52.2,701+,4.5,701+,5.8,701+,24.9,http://www.cau.edu.cn/
485,485,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Small,Focused,Very High,4.6,601+,3.3,601+,35.5,446,46.8,293,100,10,100,15,15.4,701+,4.1,701+,1.1,701+,24.8,https://www.aurak.ac.ae/
486,485,National Sun Yat-sen University,Taiwan,Medium,Comprehensive,Very High,26.5,334,24.9,383,32,493,22.1,529,22.7,563,10.8,701+,35.6,701+,11.4,701+,48.9,324,24.8,https://www.nsysu.edu.tw/
487,487,Universität Mannheim,Germany,Medium,Focused,Very High,15.3,572,53.9,157,3,701+,31,427,42.4,406,22.7,506,27.9,701+,34.9,363,1.5,701+,24.7,https://www.uni-mannheim.de/en/
488,488,University of Hawai?i at Manoa,United States,Large,Full Comprehensive,Very High,15.2,576,6.6,601+,29.7,525,41.7,332,41.7,412,12,679,82.9,278,7.9,701+,30.1,443,24.6,https://manoa.hawaii.edu/
489,489,Chongqing University,China (Mainland),Extra Large,Specialist,Very High,7.6,601+,4.6,601+,12.1,701+,81.4,105,21.3,582,2.1,701+,59.6,637,13.6,701+,4.1,701+,24.5,https://www.cqu.edu.cn/
490,489,Chung-Ang University (CAU),South Korea,Large,Full Comprehensive,Very High,16,555,31.9,296,67.8,195,9.3,701+,14.2,680,37.8,371,29.9,701+,13.5,701+,49.5,322,24.5,https://www.cau.ac.kr/
491,489,Isfahan University of Technology,"Iran, Islamic Republic of",Medium,Focused,Very High,4.9,601+,15.7,541,5.1,701+,92.2,68,2.3,701+,1.4,701+,43.5,701+,5.6,701+,1.1,701+,24.5,https://www.iut.ac.ir/
492,489,Shanghai University,China (Mainland),Extra Large,Focused,Very High,20.3,435,13.1,601+,50.8,303,30.5,429,40.9,415,5.3,701+,58.7,649,8.9,701+,10.5,655,24.5,http://www.shu.edu.cn/
493,489,UNESP,Brazil,Extra Large,Full Comprehensive,Very High,41.1,207,25.8,368,13,701+,16.2,619,5.9,701+,2.7,701+,70.9,469,1.5,701+,14.5,600,24.5,https://www.unesp.br/
494,489,University of Jyväskylä,Finland,Medium,Focused,Very High,16.2,548,11.4,601+,87.7,96,12.1,687,44,400,2.6,701+,81.2,303,10.4,701+,16.3,570,24.5,https://www.jyu.fi/en
495,495,Central Queensland University (CQUniversity Australia),Australia,Small,Focused,Very High,9,601+,6.7,601+,29.4,528,20.9,548,97.1,128,97.8,72,44,701+,3.1,701+,49.8,319,24.4,https://www.cqu.edu.au/
496,495,Duy Tan University,Vietnam,Large,Comprehensive,Very High,11.9,601+,25.3,376,3.9,701+,49,273,37.7,428,1.4,701+,83.5,273,4.4,701+,29,453,24.4,https://www.duytan.edu.vn/
497,497,Jilin University,China (Mainland),Extra Large,Full Comprehensive,Very High,12.1,601+,46.1,200,37.4,428,27.4,472,11.6,701+,2.1,701+,62.2,601,23.2,492,9.1,686,24.2,https://www.jlu.edu.cn/
498,497,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,Medium,Focused,Very High,9.2,601+,11.8,601+,98.9,39,8.1,701+,45.8,391,89.5,125,32.9,701+,14.6,675,1.1,701+,24.2,https://www.mephi.ru/
499,497,Universidad de Costa Rica,Costa Rica,Extra Large,Comprehensive,High,35.4,248,24.3,397,32.3,487,1.6,701+,2.4,701+,2,701+,45.5,701+,81.6,115,16.9,563,24.2,https://www.ucr.ac.cr/
500,497,"University of California, Riverside",United States,Large,Full Comprehensive,Very High,16.3,546,9.4,601+,6.6,701+,50.9,256,47.9,375,10.4,701+,77.3,372,3.7,701+,21.3,521,24.2,https://www.ucr.edu/
501,202,Khalifa University of Science and Technology,United Arab Emirates,Small,Specialist,Very High,22.7,393,21,437,80,137,60.7,199,100,12,78.9,174,78.8,341,9.3,701+,61.6,263,46.1,https://www.khalifa.edu/
502,501,Colorado School of Mines,United States,Medium,Focused,Very High,6.8,601+,12.5,601+,15.8,701+,72,148,29.7,496,7.4,701+,30.9,701+,17.7,604,18,555,24.1,https://www.mines.edu/
503,501,East China Normal University,China (Mainland),Large,Comprehensive,Very High,13.3,601+,4.7,601+,16.2,701+,63.5,180,24.1,546,9,701+,72,450,9,701+,6.8,701+,24.1,https://www.ecnu.edu.cn/
504,501,Johannes Gutenberg Universität Mainz,Germany,Large,Focused,Very High,22.3,400,11.4,601+,57.8,254,11.5,701+,42,411,15.5,614,87,215,11.4,701+,16.3,570,24.1,https://www.uni-mainz.de/en/
505,501,University of Huddersfield,United Kingdom,Large,Comprehensive,Very High,12.7,601+,12.4,601+,7.5,701+,19.4,564,63.7,308,85.6,148,73,441,1.3,701+,72.3,205,24.1,https://www.hud.ac.uk/
506,506,University of Delaware,United States,Large,Comprehensive,Very High,9.4,601+,7.9,601+,6.6,701+,53.9,237,30,495,12.6,665,66.5,530,16.9,617,65.3,239,24,https://www.udel.edu/
507,506,University of Trento,Italy,Large,Comprehensive,Very High,24.9,352,10.5,601+,22,639,32.7,402,29.6,497,6.1,701+,85.8,234,4.4,701+,19,547,24,https://www.unitn.it/en
508,508,Aristotle University of Thessaloniki,Greece,Extra Large,Full Comprehensive,Very High,28.2,313,26.1,365,4.3,701+,15.8,623,1.7,701+,4.1,701+,90.5,164,38.3,335,44.3,348,23.9,https://www.auth.gr/en
509,508,Shenzhen University,China (Mainland),Extra Large,Comprehensive,Very High,7.7,601+,3.2,601+,42.1,369,64.5,175,11,701+,1.4,701+,65.1,555,15.8,637,7.4,701+,23.9,http://english.szu.edu.cn/
510,508,SOAS University of London ,United Kingdom,Medium,Specialist,Very High,17.1,528,9.4,601+,14.8,701+,15.1,635,100,60,98.7,61,16.9,701+,22.4,513,39.1,378,23.9,https://www.soas.ac.uk/
511,511,Ewha Womans University,South Korea,Large,Full Comprehensive,High,22.1,401,21.2,434,76.3,157,6.9,701+,7,701+,24.4,483,31.3,701+,23,496,34.2,413,23.8,http://www.ewha.ac.kr/mbs/ewhaen
512,511,Zhengzhou University,China (Mainland),Extra Large,Full Comprehensive,Very High,5.4,601+,22,422,4.9,701+,80.3,108,na,na,2.4,701+,56.3,674,5.7,701+,2.4,701+,23.8,http://www.zzu.edu.cn/
513,513,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,Large,Full Comprehensive,High,10.5,601+,11.4,601+,89.5,87,2.6,701+,98.2,118,19.7,548,68.3,509,2.4,701+,18.4,549,23.7,https://www.iau.edu.sa/
514,513,Prince Mohammad Bin Fahd university,Saudi Arabia,Small,Specialist,High,20.3,436,23,409,23.1,621,27.8,468,100,11,18.8,570,23.3,701+,2.8,701+,1.2,701+,23.7,https://www.pmu.edu.sa/
515,513,University of Milano-Bicocca ,Italy,Large,Focused,Very High,20.4,432,10.9,601+,3.3,701+,54.1,236,3.5,701+,4.3,701+,81.1,307,11.5,701+,14.8,596,23.7,https://www.unimib.it/
516,516,Ateneo de Manila University,Philippines,Large,Specialist,Very High,21.4,410,64.5,122,24.4,601,1.8,701+,2.9,701+,2.5,701+,23,701+,70.6,156,15.6,584,23.6,https://www.admu.edu.ph/
517,516,Edith Cowan University ,Australia,Large,Comprehensive,Very High,8.5,601+,6.8,601+,4.8,701+,49.8,265,78.5,245,57.7,256,64.5,565,4.7,701+,5.8,701+,23.6,https://www.ecu.edu.au/
518,516,INTI International University,Malaysia,Small,Comprehensive,High,7.7,601+,19.9,453,89.1,90,1.7,701+,95.4,143,92.9,102,7,701+,4.4,701+,1.1,701+,23.6,https://www.inti.edu.my/
519,516,Kyungpook National University,South Korea,Large,Full Comprehensive,Very High,11.1,601+,16.7,514,66.9,196,20.5,551,11.1,701+,25.7,470,52,701+,10.6,701+,60.6,266,23.6,https://www.knu.ac.kr/
520,516,Sabanci University,Turkey,Small,Comprehensive,Very High,19.5,457,44.6,206,38.2,416,19.4,565,32,483,14.2,637,25.9,701+,7.2,701+,7.9,701+,23.6,https://www.sabanciuniv.edu/
521,516,University of Hull,United Kingdom,Large,Full Comprehensive,High,8.9,601+,4.5,601+,14.3,701+,21.5,537,63.3,309,81.5,166,76.9,380,20.5,555,68,228,23.6,https://www.hull.ac.uk/
522,516,Ural Federal University - UrFU,Russia,Extra Large,Comprehensive,Very High,19.6,455,14.2,577,95.5,60,2.1,701+,5.4,701+,25.3,475,86.6,220,1.9,701+,12.7,615,23.6,https://urfu.ru/en/
523,621-630,Zayed University,United Arab Emirates,Medium,Specialist,Very High,17.6,515,18.4,479,24.3,604,8.6,701+,100,15,1.9,701+,50.8,701+,20.9,550,2.9,701+,na,https://www.zu.ac.ae/
524,524,Pusan National University,South Korea,Large,Full Comprehensive,Very High,18.7,482,16.5,516,43.5,359,19.5,562,10.5,701+,13.7,646,57.7,657,13.8,700,65,241,23.4,https://www.pusan.ac.kr/eng
525,524,Universidad Austral,Argentina,Medium,Full Comprehensive,Medium,20.9,420,36.2,259,79.7,139,1.9,701+,2.7,701+,7.5,701+,10.2,701+,65.9,174,1.3,701+,23.4,https://www.austral.edu.ar/
526,526,Universität Jena,Germany,Large,Full Comprehensive,Very High,17.2,525,5.7,601+,99.9,23,8.8,701+,na,na,20.2,535,94.7,82,3.9,701+,13.1,613,23.3,https://www.uni-jena.de/en
527,527,Missouri University of Science and Technology,United States,Medium,Comprehensive,Very High,4,601+,6.1,601+,5.7,701+,86.2,90,35.2,455,12.8,663,30.5,701+,4.8,701+,1.7,701+,23.2,https://www.mst.edu/
528,527,Universität Leipzig,Germany,Large,Full Comprehensive,Very High,23.5,378,9.7,601+,74.8,167,8.4,701+,na,na,14.2,638,84.3,257,10.5,701+,21.3,521,23.2,https://www.uni-leipzig.de/en/
529,527,University of Bayreuth,Germany,Medium,Comprehensive,Very High,10.2,601+,15.7,544,50.3,307,25.8,489,54.8,339,21.2,525,75.1,407,9,701+,11.3,636,23.2,https://www.uni-bayreuth.de/en/
530,527,Warsaw University of Technology,Poland,Large,Focused,Very High,23.3,380,51.9,168,42.6,366,4.7,701+,2.4,701+,10.3,701+,60.6,627,9.8,701+,1.4,701+,23.2,https://www.pw.edu.pl/en
531,526,Coventry University,United Kingdom,Extra Large,Comprehensive,Very High,9.9,601+,10.4,601+,16.9,701+,7.1,701+,77,253,99.9,35,82.6,283,10,701+,64.4,243,23.3,https://www.coventry.ac.uk/
532,531,Indian Institute of Technology (BHU) Varanasi,India,Medium,Focused,Very High,5.5,601+,5.9,601+,3.9,701+,95,48,1.4,701+,1.1,701+,24.5,701+,6.5,701+,10.1,661,23.1,https://iitbhu.ac.in/
533,531,University of Bradford,United Kingdom,Medium,Comprehensive,Very High,9.1,601+,7.1,601+,6.8,701+,21.7,534,68.5,290,97.6,75,66,539,34.3,368,40.7,362,23.1,https://www.bradford.ac.uk/
534,531,University of Utah,United States,Extra Large,Full Comprehensive,Very High,15.7,561,6.3,601+,50,309,30.5,431,15.5,659,10.3,701+,80.5,313,17.4,608,24.5,492,23.1,https://www.utah.edu/
535,534,Universidad Nacional de La Plata (UNLP),Argentina,Extra Large,Full Comprehensive,High,40.8,208,19.2,466,28.4,547,1.9,701+,5.3,701+,22.6,507,55.4,689,27.3,438,2.2,701+,23,http://www.unlp.edu.ar/
536,535,Lahore University of Management Sciences (LUMS),Pakistan,Small,Comprehensive,Very High,17.2,526,73.2,93,27.1,560,7.4,701+,12.2,701+,1.8,701+,19.5,701+,37,345,1.1,701+,22.9,https://lums.edu.pk/
537,535,Northumbria University at Newcastle,United Kingdom,Large,Comprehensive,Very High,10.9,601+,10.8,601+,11.8,701+,15.8,622,70.7,281,56.2,267,78.4,350,14,691,75.3,184,22.9,https://www.northumbria.ac.uk/
538,535,University of Bordeaux,France,Extra Large,Focused,Very High,31.3,284,5.5,601+,11.5,701+,17.6,588,27.1,517,23.3,500,92.9,120,16.7,620,20.1,530,22.9,https://www.u-bordeaux.fr/
539,535,University of Eastern Finland,Finland,Large,Comprehensive,Very High,13.8,601+,7.6,601+,43.7,357,18.4,576,37.4,431,5.2,701+,86.4,224,4.2,701+,78.6,164,22.9,https://www.uef.fi/en
540,539,Applied Science University - Bahrain,Bahrain,Small,Focused,Very High,23.5,377,25,380,39.3,398,2,701+,100,17,46.8,313,13.3,701+,11.3,701+,1.7,701+,22.8,https://www.asu.edu.bh/
541,539,Hitotsubashi University,Japan,Medium,Specialist,Very High,14.4,601+,73,94,30.8,510,2.1,701+,19.8,600,20,539,7.5,701+,51.9,242,1.1,701+,22.8,https://www.hit-u.ac.jp/
542,539,Sunway University,Malaysia,Small,Comprehensive,Very High,13,601+,39.2,240,44,355,10.3,701+,35.9,443,33.2,404,51.1,701+,3.9,701+,27.3,468,22.8,https://www.sunway.edu.my/
543,539,Université de Fribourg,Switzerland,Medium,Comprehensive,Very High,10.3,601+,3,601+,7.5,701+,25.4,493,99.9,84,38.3,368,58.3,654,40.6,314,51.8,310,22.8,https://www.unifr.ch/
544,539,University of Salamanca,Spain,Large,Full Comprehensive,Very High,26.9,328,14.6,567,26,570,6.2,701+,6.9,701+,14.9,625,80,322,23.4,484,69.5,223,22.8,https://www.usal.es/
545,544,Universidad de Zaragoza,Spain,Large,Full Comprehensive,Very High,21.3,413,5.1,601+,56.1,262,7,701+,4.5,701+,9,701+,89.5,174,10.7,701+,77.1,175,22.7,https://www.unizar.es/
546,544,Universidad Pontificia Comillas,Spain,Medium,Focused,Very High,8.3,601+,71.6,97,38.3,415,2.2,701+,18.7,616,5,701+,9,701+,85.4,100,7.1,701+,22.7,https://www.comillas.edu/
547,547,Northwestern Polytechnical University,China (Mainland),Extra Large,Comprehensive,Very High,5.8,601+,3.2,601+,44.8,345,63.8,178,16.7,643,5.2,701+,53.4,701+,6.6,701+,2.4,701+,22.6,https://en.nwpu.edu.cn/
548,547,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),Uzbekistan,Medium,Focused,Very High,30.6,290,19.9,456,79,144,2.2,701+,26.3,522,4.1,701+,8.6,701+,15.1,659,9.5,678,22.6,http://tiiame.uz/
549,547,University of Genoa,Italy,Large,Full Comprehensive,Very High,18.8,479,4.9,601+,12.7,701+,43.7,314,5.4,701+,9.2,701+,81.2,304,10.5,701+,39.5,371,22.6,https://www.unige.it/
550,547,University of Iceland,Iceland,Medium,Comprehensive,Very High,6.8,601+,2.5,601+,99.9,21,6.7,701+,25.7,525,10.3,701+,73.5,427,83.2,108,5.9,701+,22.6,https://english.hi.is/
551,547,University of Windsor,Canada,Large,Comprehensive,Very High,3.9,601+,3.9,601+,2.2,701+,36.2,378,88.7,199,83.8,159,51.1,701+,25.8,458,38.5,381,22.6,https://www.uwindsor.ca/
552,261,United Arab Emirates University,United Arab Emirates,Medium,Full Comprehensive,Very High,30.1,295,38.3,247,49.8,312,16.6,612,100,19,34.2,396,86.2,230,82,111,36.6,393,39.4,https://www.uaeu.ac.ae/
553,552,University of Tabriz,"Iran, Islamic Republic of",Large,Comprehensive,Very High,5.9,601+,5,601+,3.4,701+,81.7,104,1.5,701+,6.8,701+,71.8,453,5.3,701+,1.2,701+,22.5,https://tabrizu.ac.ir/en
554,554,Hasselt University ,Belgium,Medium,Focused,Very High,5.8,601+,3.3,601+,82.1,120,15.4,630,74.2,268,25.3,476,69.6,490,2.4,701+,26.8,473,22.4,https://www.uhasselt.be/
555,554,Jordan University of Science & Technology,Jordan,Medium,Comprehensive,Very High,21,419,30.7,306,18.8,701+,5.6,701+,38.2,425,67.7,218,55.5,685,4.3,701+,24.5,492,22.4,https://www.just.edu.jo/
556,554,Universiti Utara Malaysia (UUM),Malaysia,Medium,Specialist,Very High,22,402,25.4,373,38.8,406,8.2,701+,19.4,609,79.3,173,34.1,701+,12.3,701+,5.3,701+,22.4,https://www.uum.edu.my/
557,554,University of Dhaka,Bangladesh,Extra Large,Full Comprehensive,High,23,390,45.6,201,11.2,701+,2.9,701+,1.6,701+,1,701+,52,701+,93.7,59,11.8,623,22.4,http://www.du.ac.bd/
558,554,University Ulm,Germany,Medium,Focused,Very High,7.4,601+,5.5,601+,78.5,147,31.2,422,39.6,420,21,528,61.1,615,2.9,701+,2.1,701+,22.4,https://www.uni-ulm.de/en/
559,559,Peter the Great St. Petersburg Polytechnic University,Russia,Large,Comprehensive,Very High,16,551,10.9,601+,74.3,171,2.9,701+,14.1,681,84,157,64.7,562,4.9,701+,11.2,642,22.3,https://www.spbstu.ru/en
560,559,Ulster University,United Kingdom,Large,Comprehensive,Very High,8.1,601+,11.3,601+,9.6,701+,11.5,701+,99.8,91,77.6,182,73.4,431,6.8,701+,62.2,254,22.3,https://www.ulster.ac.uk/
561,559,Umm Al-Qura University ,Saudi Arabia,Extra Large,Full Comprehensive,High,20.7,423,12.8,601+,54.7,279,2.2,701+,100,80,16,606,59.7,635,6.7,701+,3.1,701+,22.3,https://www.uqu.edu.sa/
562,562,Université Claude Bernard Lyon 1,France,Extra Large,Full Comprehensive,Very High,18.1,502,3.7,601+,7.9,701+,48.3,276,7.4,701+,12,681,93.7,106,12.4,701+,11,644,22.2,https://www.univ-lyon1.fr/
563,562,Universiti Teknologi Brunei,Brunei,Small,Focused,Very High,15.4,570,6.3,601+,88.5,92,9.9,701+,100,63,5.8,701+,15.9,701+,14.7,671,1.4,701+,22.2,https://www.utb.edu.bn/
564,564,Eötvös Loránd University,Hungary,Large,Comprehensive,Very High,23.3,382,22.6,414,10.7,701+,6.1,701+,5.2,701+,11,701+,71.3,464,60.9,198,61.9,258,22.1,https://www.elte.hu/en
565,565,Nanjing University of Science and Technology,China (Mainland),Large,Focused,Very High,5.7,601+,2.5,601+,8.9,701+,89.3,78,na,na,na,na,38.7,701+,3.7,701+,2.3,701+,22,http://en.njust.edu.cn/
566,565,University of Connecticut,United States,Large,Full Comprehensive,Very High,14.4,600,8.1,601+,18.2,701+,29.8,438,27.4,514,19.4,556,88,198,23.3,487,37.6,388,22,https://www.uconn.edu/
567,567,Chiang Mai University,Thailand,Extra Large,Full Comprehensive,High,34.8,252,17.1,501,17.3,701+,4.2,701+,4.8,701+,4.2,701+,62.5,596,19.1,578,56.1,282,21.9,https://www.cmu.ac.th/
568,567,Lebanese University,Lebanon,Extra Large,Full Comprehensive,High,29,304,34.4,274,10.1,701+,2.2,701+,43.8,402,29.5,435,43.7,701+,29.9,418,5.8,701+,21.9,http://www.ul.edu.lb/
569,567,MGIMO University,Russia,Medium,Comprehensive,High,9.8,601+,25.4,372,100,18,1.3,701+,11.3,701+,41.3,346,5.7,701+,60,204,1,701+,21.9,https://www.mgimo.ru/en
570,570,"University of Chemistry and Technology, Prague",Czech Republic,Small,Focused,Very High,5.6,601+,9.3,601+,98.4,44,13.5,661,23.9,547,78.4,179,34.9,701+,4.2,701+,3.4,701+,21.8,https://www.uct.cz/en/
571,570,University of Szeged,Hungary,Large,Full Comprehensive,High,18.5,491,16.8,510,37,434,4.8,701+,11.8,701+,41.2,347,73.1,440,15,663,61.9,258,21.8,https://u-szeged.hu/
572,570,University of the Punjab,Pakistan,Extra Large,Comprehensive,Very High,15.6,566,52.2,162,4.5,701+,11.6,701+,3.2,701+,1.3,701+,62.2,603,81.4,118,4.3,701+,21.8,http://pu.edu.pk/
573,573,Florida State University,United States,Extra Large,Full Comprehensive,Very High,25.6,346,18.1,485,7.2,701+,24.8,500,10,701+,4.2,701+,71.9,452,18.4,595,26.8,473,21.6,https://www.fsu.edu/
574,574,Florida International University,United States,Extra Large,Full Comprehensive,Very High,15.3,573,22.5,417,11.8,701+,12.6,680,20.3,593,12.9,661,86.7,217,16.6,621,81.2,148,21.5,https://www.fiu.edu/
575,574,University of Debrecen,Hungary,Large,Full Comprehensive,High,17.9,505,13.9,588,34,464,3.9,701+,10.6,701+,70,209,76.7,385,21.4,537,39.5,371,21.5,https://unideb.hu/
576,576,National Research Tomsk Polytechnic University,Russia,Medium,Focused,Very High,8.9,601+,8.4,601+,95.1,61,3.7,701+,10.9,701+,82.8,163,62.7,592,2,701+,7.1,701+,21.4,https://tpu.ru/en
577,576,Sogang University,South Korea,Medium,Comprehensive,Very High,17.5,516,45.5,202,56.7,260,5.1,701+,7.1,701+,19.6,552,13.8,701+,16,635,17.7,557,21.4,https://www.sogang.ac.kr/
578,576,Southern Cross University ,Australia,Medium,Comprehensive,Very High,4.4,601+,2.8,601+,2.9,701+,46.3,299,81.1,234,44.8,327,44.2,701+,4.8,701+,48.2,327,21.4,https://www.scu.edu.au/
579,576,Universidad Adolfo Ibáñez,Chile,Medium,Specialist,Very High,20.6,428,57,141,4.7,701+,4.6,701+,36.9,433,3.9,701+,31.5,701+,53.3,237,2,701+,21.4,https://www.uai.cl/
580,580,Jawaharlal Nehru University,India,Medium,Comprehensive,Very High,31,287,14.4,571,10,701+,28.9,448,na,na,1.3,701+,47.4,701+,14.7,672,19.7,537,21.3,https://www.jnu.ac.in/
581,580,Jinan University (China),China (Mainland),Extra Large,Full Comprehensive,Very High,5.2,601+,2.7,601+,8.9,701+,52.7,244,34,470,83.1,162,52.8,701+,6.5,701+,3.1,701+,21.3,https://www.jnu.edu.cn/
